Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,14.12674332,13.24220181
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,69.99860382,65.80603027
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.54922014,1.08443093
Afghanistan,AFG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,2.72140895,5.38899046
Afghanistan,AFG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,76.319664,79.39915466
Afghanistan,AFG,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,53.42270666,52.24943995
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.23207188,..
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,274.91409302,..
Albania,ALB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.82499456,..
Albania,ALB,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,148.4365691,..
Albania,ALB,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,44.65778351,..
Albania,ALB,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,122.77054171,..
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.16302586,6.24337101
Algeria,DZA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,256.00946045,248.20587158
Algeria,DZA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.05819511,4.05817795
Algeria,DZA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,168.57567796,161.33328493
Algeria,DZA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,34.1256218,34.95557785
Algeria,DZA,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,87.36482634,86.76178998
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..
American Samoa,ASM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..
American Samoa,ASM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..
American Samoa,ASM,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..
American Samoa,ASM,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..
American Samoa,ASM,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.75162506,6.71158504
Andorra,AND,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2821.80126953,2744.19433594
Andorra,AND,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.58670235,4.66368246
Andorra,AND,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,1916.98456252,1906.85942943
Andorra,AND,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,32.06521988,30.51295662
Andorra,AND,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,904.81671351,837.33477229
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.54010224,2.53335953
Angola,AGO,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,87.31073761,71.32600403
Angola,AGO,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.06878412,1.04434741
Angola,AGO,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,36.73723231,29.40330087
Angola,AGO,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,54.58914185,55.60569763
Angola,AGO,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,47.66218016,39.66132528
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.85093021,4.44295979
Antigua and Barbuda,ATG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,808.69927979,760.26495361
Antigua and Barbuda,ATG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.91416717,2.59645534
Antigua and Barbuda,ATG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,485.82119188,444.29702313
Antigua and Barbuda,ATG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,39.82854462,41.51376343
Antigua and Barbuda,ATG,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,322.09314377,315.61461018
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.66646481,9.5100708
Argentina,ARG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1127.9284668,945.99194336
Argentina,ARG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,5.93580294,5.93055725
Argentina,ARG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,692.61743135,589.92823278
Argentina,ARG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,38.2912941,37.38851166
Argentina,ARG,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,431.89842985,353.69231875
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.00543404,11.33526421
Armenia,ARM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,422.28268433,523.99908447
Armenia,ARM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.23468113,1.40614879
Armenia,ARM,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,52.11013478,65.00251312
Armenia,ARM,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,86.4431076,86.59964752
Armenia,ARM,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,365.03429566,453.78133835
