,Lat,Long,Store_Name,Store_number,Gas_or_Diesel,No_Overnight_Parking,Phone_Number,Address,Country,Province_or_State
0,-114.005671,51.262567,Walmart Supercentre,1050,Neither,0,(403) 945-1295,"2881 Main St SW, Airdrie, AB T4B 3G5",Canada,AB
1,-111.900542,50.577939,Walmart Supercentre,3658,Neither,0,(403) 793-2111,"917 3rd St W, Brooks, AB T1R 1L5",Canada,AB
2,-114.039133,51.107253,Walmart Supercentre,3013,Neither,1,(403) 730-0990,"1110 57th Ave NE, Calgary, AB T2E 9B7",Canada,AB
3,-114.138488,51.040871,Walmart Supercentre,3009,Gas,1,(403) 242-2205,"1212 37 St SW, Calgary, AB T3C 1S3",Canada,AB
4,-114.028603,50.930551,Walmart,1144,Neither,0,(403) 225-6638,"1221 Canyon Meadows Dr SE, Calgary, AB T2J 6G2",Canada,AB
5,-113.91159,51.04009,Walmart Supercentre,1136,Neither,0,(403) 387-0850,"255 E Hills Blvd SE, Calgary, AB T2A 4X7",Canada,AB
6,-114.145518,51.1757,Walmart Supercentre,1097,Neither,0,(587) 230-8411,"35 Sage Hill Gate NW, Calgary, AB T3R 0S4",Canada,AB
7,-113.989925,51.053615,Walmart Supercentre,3012,Neither,1,(403) 235-2352,"3800 Memorial Dr NE, Calgary, AB T2A 2K2",Canada,AB
8,-113.966699,50.930235,Walmart Supercentre,3650,Neither,0,(403) 726-0430,"4705 130th Ave, Calgary, AB T2Z 4J2",Canada,AB
9,-114.142114,51.097447,Walmart,3011,Gas,1,(403) 247-8585,"5005 Northland Dr NW, Calgary, AB T2L 2K1",Canada,AB
10,-114.039281,50.984422,Walmart Supercentre,1089,Neither,1,(403) 301-2051,"7979 11 St SE, Calgary, AB T2H 0B8",Canada,AB
11,-114.213235,51.152812,Walmart Supercentre,5726,Neither,1,(403) 567-1502,"8888 Country Hills Blvd #200 Calgary, AB T3G 5T4",Canada,AB
12,-114.070155,50.966056,Walmart Supercentre,3010,Gas,1,(403) 258-3988,"9650 Macleod Trail, Calgary, AB T2J 0P7",Canada,AB
13,-112.859721,53.019324,Walmart Supercentre,3181,Neither,0,(780) 608-1211,"6800 48th Ave, Camrose, AB T4V 4T1",Canada,AB
14,-114.471376,51.186312,Walmart Supercentre,1135,Neither,0,(403) 851-3040,"15 Quarry St W, Cochrane, AB T4C 0W5",Canada,AB
15,-110.20215,54.408152,Walmart Supercentre,3640,Neither,0,(780) 840-2340,"4702 43 Ave, Cold Lake, AB T9M 1M9",Canada,AB
16,-114.994295,53.225812,Walmart Supercentre,1008,Neither,0,(780) 514-3207,"5217 Power Centre Blvd, Drayton Valley, AB T7A 1S7",Canada,AB
17,-112.687064,51.449393,Walmart,1028,Neither,0,(403) 820-7744,"1801 S Railway Ave, Drumheller, AB T0J 0Y0",Canada,AB
18,-113.389302,53.571242,Walmart,1148,Neither,0,(780) 453-5801,"1 Westmount Shopping Centre, Edmonton, AB T5M 3L7",Canada,AB
19,-113.59472,53.520574,Walmart Supercentre,1149,Neither,0,(780) 483-4522,"100 Meadowlark Shopping Centre NW, Edmonton, AB T5R 5X1",Canada,AB
20,-113.420415,53.421597,Walmart Supercentre,1187,Neither,0,(587) 984-2091,"110 Watt Common SW, Edmonton, AB T6X 1X2",Canada,AB
21,-113.481662,53.441312,Walmart Supercentre,3029,Neither,1,(780) 463-6030,"1203 Parsons Rd NW, Edmonton, AB T6N 0A9",Canada,AB
22,-113.402255,53.599701,Walmart Supercentre,3028,Neither,0,(780) 476-4460,"13703 40 St NW, Edmonton, AB T5Y 3B5",Canada,AB
23,-113.542507,53.631757,Walmart Supercentre,1122,Neither,1,(780) 457-4366,"16940 127th St NWEdmonton, AB T6V 1S8",Canada,AB
24,-113.644092,53.539488,Walmart Supercentre,3027,Neither,0,(780) 487-8626,"18521 Stony Plain Rd NW, Edmonton, AB T5S 2V9",Canada,AB
25,-113.390984,53.570576,Walmart Supercentre,1147,Neither,0,(780) 474-8015,"3210 118th Ave NW, Edmonton, AB T5W 4W1",Canada,AB
26,-113.494111,53.473023,Walmart Supercentre,1145,Neither,1,(780) 437-7468,"3931 Calgary Trail NW, Edmonton, AB T6J 5M8",Canada,AB
27,-113.420457,53.539812,Walmart Supercentre,3026,Neither,1,(780) 466-2002,"5004 98 Ave NW, Edmonton, AB T6A 0A2",Canada,AB
28,-113.600688,53.437912,Walmart Supercentre,1094,Neither,1,(780) 438-1190,"6110 Currents Dr. NW, Edmonton, AB T6W 0L7",Canada,AB
29,-113.36349,53.478497,Walmart Supercentre,1138,Neither,0,(587) 983-6228,"775 Tamarack Way NW, Edmonton, AB T6T 1H9",Canada,AB
30,-113.486918,53.597308,Walmart Supercentre,1146,Neither,0,(780) 406-8807,"9402 135th Ave NW, Edmonton, AB T5E 5R8",Canada,AB
31,-116.448739,53.577055,Walmart Supercentre,1048,Neither,0,(780) 723-6357,"5750 2nd Ave, Edson, AB T7E 0A1",Canada,AB
32,-111.359153,56.72178,Walmart,3157,Neither,0,(780) 790-6012,"2 Hospital St, Fort McMurray, AB T9H 5E4",Canada,AB
33,-113.211403,53.69665,Walmart Supercentre,5753,Neither,1,(780) 998-3633,"9551 87 Ave, Fort Saskatchewan, AB T8L 4N3",Canada,AB
34,-118.82819,55.17204,Walmart Supercentre,3147,Neither,0,(780) 513-3740,"11050 103 Ave, Grande Prairie, AB T8V 7H1",Canada,AB
35,-117.621222,53.386207,Walmart,3038,Neither,0,(780) 865-1421,"100 900 Carmichael Lane, Hinton, AB T7V 1Y6",Canada,AB
