Final FIPS,Facility ID,State,County Name
1069,010001,AL,HOUSTON
1095,010005,AL,MARSHALL
1077,010006,AL,LAUDERDALE
1039,010007,AL,COVINGTON
1041,010008,AL,CRENSHAW
1073,010011,AL,JEFFERSON
1049,010012,AL,DE KALB
1117,010016,AL,SHELBY
1073,010018,AL,JEFFERSON
1033,010019,AL,COLBERT
1045,010021,AL,DALE
1019,010022,AL,CHEROKEE
1101,010023,AL,MONTGOMERY
1101,010024,AL,MONTGOMERY
1081,010029,AL,LEE
1073,010033,AL,JEFFERSON
1051,010034,AL,ELMORE
1043,010035,AL,CULLMAN
1039,010036,AL,COVINGTON
1015,010038,AL,CALHOUN
1089,010039,AL,MADISON
1055,010040,AL,ETOWAH
1093,010044,AL,MARION
1057,010045,AL,FAYETTE
1055,010046,AL,ETOWAH
1031,010049,AL,COFFEE
1063,010051,AL,GREENE
1123,010052,AL,TALLAPOOSA
1069,010055,AL,HOUSTON
1073,010056,AL,JEFFERSON
1007,010058,AL,BIBB
1079,010059,AL,LAWRENCE
1071,010061,AL,JACKSON
1061,010062,AL,GENEVA
1123,010065,AL,TALLAPOOSA
1005,010069,AL,BARBOUR
1027,010073,AL,CLAY
1015,010078,AL,CALHOUN
1083,010079,AL,LIMESTONE
1003,010083,AL,BALDWIN
1103,010085,AL,MORGAN
1057,010086,AL,FAYETTE
1097,010087,AL,MOBILE
1127,010089,AL,WALKER
1097,010090,AL,MOBILE
1025,010091,AL,CLARKE
1125,010092,AL,TUSCALOOSA
1065,010095,AL,HALE
1051,010097,AL,ELMORE
1053,010099,AL,ESCAMBIA
1003,010100,AL,BALDWIN
1121,010101,AL,TALLADEGA
1131,010102,AL,WILCOX
1073,010103,AL,JEFFERSON
1073,010104,AL,JEFFERSON
1001,010108,AL,AUTAUGA
1011,010110,AL,BULLOCK
1091,010112,AL,MARENGO
1097,010113,AL,MOBILE
1073,010114,AL,JEFFERSON
1047,010118,AL,DALLAS
1099,010120,AL,MONROE
1133,010125,AL,WINSTON
1109,010126,AL,PIKE
1025,010128,AL,CLARKE
1003,010129,AL,BALDWIN
1115,010130,AL,ST. CLAIR
1089,010131,AL,MADISON
1119,010138,AL,SUMTER
1073,010139,AL,JEFFERSON
1097,010144,AL,MOBILE
1035,010148,AL,CONECUH
1101,010149,AL,MONTGOMERY
1013,010150,AL,BUTLER
1033,010157,AL,COLBERT
1059,010158,AL,FRANKLIN
1121,010164,AL,TALLADEGA
1113,010168,AL,RUSSELL
1053,010169,AL,ESCAMBIA
1021,010173,AL,CHILTON
1025,010174,AL,CLARKE
1017,010175,AL,CHAMBERS
1129,011300,AL,WASHINGTON
1059,011302,AL,FRANKLIN
1023,011304,AL,CHOCTAW
1009,011305,AL,BLOUNT
1111,011306,AL,RANDOLPH
1073,013300,AL,JEFFERSON
1097,013301,AL,MOBILE
1073,014000,AL,JEFFERSON
1055,014006,AL,ETOWAH
1125,014007,AL,TUSCALOOSA
1125,014012,AL,TUSCALOOSA
1097,014014,AL,MOBILE
1041,014015,AL,CRENSHAW
1043,014016,AL,CULLMAN
1003,014017,AL,BALDWIN
1089,014018,AL,MADISON
