,Facility ID,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,Left before being seen,State,County_Name,FIPS_code,PCTPOVALL_2020
0,010001,196.0,2.0,AL,HOUSTON,01069,14.8
1,010005,141.0,2.0,AL,MARSHALL,01095,15.4
2,010006,176.0,2.0,AL,LAUDERDALE,01077,13.9
3,010007,118.0,5.0,AL,COVINGTON,01039,17.1
4,010008,128.0,0.0,AL,CRENSHAW,01041,16.8
5,010011,176.0,3.0,AL,JEFFERSON,01073,14.4
6,010012,172.0,4.0,AL,DE KALB,01049,15.2
7,010016,208.0,0.0,AL,SHELBY,01117,7.0
8,010018,137.0,1.0,AL,JEFFERSON,01073,14.4
9,010019,130.0,1.0,AL,COLBERT,01033,14.4
10,010021,109.0,19.0,AL,DALE,01045,15.5
11,010022,119.0,2.0,AL,CHEROKEE,01019,14.7
12,010023,188.0,1.0,AL,MONTGOMERY,01101,20.4
13,010024,126.0,1.0,AL,MONTGOMERY,01101,20.4
14,010029,201.0,4.0,AL,LEE,01081,17.9
15,010033,182.0,2.0,AL,JEFFERSON,01073,14.4
16,010034,104.0,2.0,AL,ELMORE,01051,11.5
17,010035,124.0,1.0,AL,CULLMAN,01043,12.5
18,010036,134.0,1.0,AL,COVINGTON,01039,17.1
19,010038,147.0,4.0,AL,CALHOUN,01015,14.5
20,010039,192.0,2.0,AL,MADISON,01089,10.5
21,010040,232.0,3.0,AL,ETOWAH,01055,15.6
22,010044,99.0,2.0,AL,MARION,01093,16.8
23,010045,108.0,,AL,FAYETTE,01057,16.5
24,010046,113.0,1.0,AL,ETOWAH,01055,15.6
25,010049,146.0,1.0,AL,COFFEE,01031,13.9
26,010051,,,AL,GREENE,01063,27.9
27,010052,116.0,0.0,AL,TALLAPOOSA,01123,15.2
28,010055,187.0,2.0,AL,HOUSTON,01069,14.8
29,010056,157.0,2.0,AL,JEFFERSON,01073,14.4
30,010058,116.0,4.0,AL,BIBB,01007,17.8
31,010059,70.0,0.0,AL,LAWRENCE,01079,15.4
