,FIPS_code,Facility ID,State,County Name,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,Left before being seen,PCTPOVALL_2020
0,04013,030030,AZ,MARICOPA,164.0,1.0,11.6
1,05119,040036,AR,PULASKI,199.0,2.0,15.3
2,06037,050112,CA,LOS ANGELES,138.0,1.0,13.2
3,06077,050122,CA,SAN JOAQUIN,155.0,3.0,13.9
4,20173,170186,KS,SEDGWICK,,,13.4
5,19143,161345,IA,OSCEOLA,,,7.9
6,27139,240104,MN,SCOTT,180.0,1.0,4.3
7,19145,161352,IA,PAGE,118.0,0.0,13.2
8,24510,210011,MD,BALTIMORE CITY,218.0,,20.0
9,24031,210016,MD,MONTGOMERY,309.0,2.0,6.7
10,17143,140209,IL,PEORIA,208.0,5.0,14.2
11,20095,171378,KS,KINGMAN,90.0,0.0,9.8
12,21001,180149,KY,ADAIR,98.0,0.0,22.1
13,20065,171325,KS,GRAHAM,124.0,,12.5
14,22017,190098,LA,CADDO,218.0,3.0,20.9
15,35051,321300,NM,SIERRA,143.0,1.0,22.1
16,37023,340075,NC,BURKE,118.0,3.0,18.4
17,29011,261325,MO,BARTON,70.0,0.0,16.6
18,39049,360358,OH,FRANKLIN,93.0,0.0,15.4
19,29071,260052,MO,FRANKLIN,150.0,1.0,9.1
20,48201,450289,TX,HARRIS,284.0,2.0,15.9
21,55027,520076,WI,DODGE,167.0,0.0,7.2
22,42095,390162,PA,NORTHAMPTON,113.0,0.0,7.6
23,48201,450803,TX,HARRIS,194.0,7.0,15.9
24,48497,450271,TX,WISE,188.0,2.0,10.0
25,48153,451337,TX,FLOYD,,,17.7
26,51710,493301,VA,NORFOLK CITY,,,17.6
27,53075,501327,WA,WHITMAN,180.0,,15.7
28,72031,400112,PR,CAROLINA,,,
29,01057,010086,AL,FAYETTE,135.0,3.0,16.5
30,04023,031313,AZ,SANTA CRUZ,139.0,3.0,16.8
31,08099,061323,CO,PROWERS,117.0,0.0,16.2
32,18173,151325,IN,WARRICK,92.0,1.0,6.4
33,19103,160029,IA,JOHNSON,155.0,0.0,14.1
34,22117,191313,LA,WASHINGTON,,1.0,22.5
35,23031,200019,ME,YORK,175.0,1.0,8.1
36,27035,240075,MN,CROW WING,123.0,1.0,8.5
37,23027,201312,ME,WALDO,114.0,1.0,11.6
38,27145,240036,MN,STEARNS,191.0,3.0,10.6
39,27135,241344,MN,ROSEAU,105.0,0.0,7.3
40,36065,330044,NY,ONEIDA,158.0,1.0,12.4
41,31069,281310,NE,GARDEN,119.0,,13.9
42,34041,310060,NJ,WARREN,138.0,0.0,7.3
43,40109,370094,OK,OKLAHOMA,162.0,3.0,15.2
44,31019,280134,NE,BUFFALO,107.0,0.0,9.5
45,53063,500119,WA,SPOKANE,172.0,2.0,13.4
46,46041,430083,SD,DEWEY,,,24.9
47,48121,450730,TX,DENTON,148.0,2.0,6.9
48,72127,400098,PR,SAN JUAN,,,
49,48157,450860,TX,FORT BEND,,,7.4
50,48201,670077,TX,HARRIS,218.0,,15.9
51,48291,670115,TX,LIBERTY,,,14.4
52,06107,050784,CA,TULARE,132.0,1.0,17.1
53,04013,030110,AZ,MARICOPA,170.0,1.0,11.6
54,04013,030022,AZ,MARICOPA,169.0,0.0,11.6
55,13045,110015,GA,CARROLL,135.0,1.0,16.8
